id,name,start_date,end_date,wikidata
0,Legislatura constituyente,1977-07-13,1979-03-22,Q2468674
1,I Legislatura,1979-03-23,1982-11-17,Q2136698
2,II Legislatura,1982-11-18,1986-07-14,Q2785872
3,III Legislatura,1986-07-15,1989-11-20,Q958373
4,IV Legislatura,1989-11-21,1993-06-28,Q3270360
5,V Legislatura,1993-06-29,1996-03-26,Q2542134
6,VI Legislatura,1996-03-27,2000-04-04,Q2219850
7,VII Legislatura,2000-04-05,2004-04-01,Q2185077
8,VIII Legislatura,2004-04-02,2008-03-31,Q2228075
9,IX Legislatura,2008-04-01,2011-11-27,Q3921332
10,X Legislatura,2011-11-28,2015-10-27,Q2498034
11,XI Legislatura,2016-01-13,2016-05-03,Q21857364
12,XII Legislatura,2016-07-19,,Q24025404
